date,ticker,price,close_observations,confidence,risk_reward,stop_gap,target_gap,expected_days,long_votes,return_1d,momentum_2d,vol_2d,momentum_3d,vol_3d,momentum_5d,vol_5d,signal_strength
2026-05-09,600584,50.75,2,0.75,0.16639344262295075,0.9014778325123153,0.14999999999999994,30.0,2,,,,,,,,0.8468094516035031
2026-05-10,600584,50.75,1,0.7,4.999999999999997,0.05000000000000003,0.25,30.0,1,0.0,,,,,,,0.7278045395879424
2026-05-14,600584,55.38,3,0.7166666666666667,0.3023121992048545,0.8194293968941856,0.2,30.0,3,0.09123152709359617,0.09123152709359617,0.06451043146588609,,0.06451043146588609,,0.06451043146588609,1.043569372617544
2026-05-21,600584,67.05,3,0.7166666666666667,0.3656455142231946,0.8204667863554758,0.2999999999999999,120.0,3,0.21072589382448537,0.3211822660098522,0.08449527702900393,0.3211822660098522,0.10567836229520064,,0.10567836229520064,1.0540564297055468
2026-05-26,600584,80.17,1,0.8,0.2856277611514893,0.8752650617437945,0.25000000000000006,90.0,1,0.19567486950037294,0.4476345250993139,0.01064268136338357,0.579704433497537,0.06508180594031956,,0.09850173315085473,0.5809153547588634
2026-05-15,600588,11.7,13,0.7,3.0,0.050000000000000024,0.14999999999999994,30.0,13,,,,,,,,2.771010196096021
2026-05-06,600703,13.67,13,0.6,2.9999999999999973,0.05000000000000003,0.14999999999999997,30.0,13,,,,,,,,2.3751515966537315
2026-05-14,600795,5.05,1,0.7,3.3333333333333335,0.05999999999999999,0.19999999999999996,30.0,1,,,,,,,,0.7278045395879424
2026-05-10,600797,9.2,1,0.75,23.478260869565265,0.049999999999999906,1.173913043478261,30.0,1,,,,,,,,0.7797905781299383
2026-05-11,600797,9.34,2,0.725,2.9583333333333357,0.08499999999999999,0.25,30.0,2,0.01521739130434785,,,,,,,1.189209656223206
2026-05-06,600845,24.0,1,0.72,0.30000000000000004,0.6666666666666666,0.20000000000000004,30.0,1,,,,,,,,0.5240192685033187
2026-05-22,600845,22.55,2,0.7,4.399999999999994,0.05000000000000006,0.21999999999999992,120.0,2,-0.060416666666666674,,,,,,,1.1535429031015152
2026-05-10,600850,20.44,1,0.65,1.526418786692755,0.05000000000000009,0.07632093933463789,30.0,1,,,,,,,,0.5651658958518612
2026-05-14,600850,19.4,1,0.75,0.6185567010309301,0.04999999999999995,0.030927835051546466,30.0,1,-0.050880626223092085,,,,,,,0.5734542395869652
2026-05-07,600887,27.53,1,0.65,4.0,0.05,0.2,30.0,1,,,,,,,,0.6758185010459467
2026-05-07,600893,48.33,1,0.75,0.23967270022315904,0.8344713428512311,0.2000000000000001,30.0,1,,,,,,,,0.5406264424720679
